ID,Temp 1,Temp 2,Temp 3,Temp 4,Light 1,Light 2,Light 3,Light 4,Sound 1,Sound 1,Sound 3,Sound 4,CO2 1,CO2 2,Occupancy
1,24.94,24.75,24.56,25.38,121,34,53,40,0.08,0.19,0.06,0.06,390,0.769230769,1
2,24.94,24.75,24.56,25.44,121,33,53,40,0.93,0.05,0.06,0.06,390,0.646153846,1
3,25,24.75,24.5,25.44,121,34,53,40,0.43,0.11,0.08,0.06,390,0.519230769,1
4,25,24.75,24.56,25.44,121,34,53,40,0.41,0.1,0.1,0.09,390,0.388461538,1
5,25,24.75,24.56,25.44,121,34,54,40,0.18,0.06,0.06,0.06,390,0.253846154,1
6,25,24.81,24.56,25.44,121,34,54,40,0.13,0.06,0.06,0.07,390,0.165384615,1
7,25,24.75,24.56,25.44,120,34,54,40,1.39,0.32,0.43,0.06,390,0.076923077,1
8,25,24.81,24.56,25.44,121,34,54,41,0.09,0.06,0.09,0.05,390,-0.011538462,1
9,25,24.81,24.56,25.5,122,35,56,43,0.09,0.05,0.06,0.13,390,-0.1,1
10,25,24.81,24.56,25.5,101,34,57,43,3.84,0.64,0.48,0.39,390,-0.188461538,1
11,25.06,24.81,24.56,25.44,122,35,57,43,2.2,0.31,0.33,0.21,390,-0.276923077,1
12,25.06,24.81,24.56,25.5,123,35,57,44,0.42,0.13,0.14,0.09,390,-0.365384615,1
13,25.06,24.88,24.63,25.5,123,35,57,43,0.21,0.15,0.07,0.06,390,-0.453846154,1
14,25.06,24.81,24.63,25.56,123,35,57,44,1.66,0.21,0.12,0.09,390,-0.542307692,1
15,25.06,24.88,24.63,25.56,123,35,58,44,0.57,0.17,0.21,0.13,390,-0.630769231,1
16,25.06,24.88,24.63,25.56,123,35,58,44,0.14,0.17,0.15,0.06,390,-0.719230769,1
17,25.06,24.88,24.63,25.56,122,35,58,44,0.24,0.05,0.1,0.05,395,-0.711538462,1
18,25.06,24.81,24.63,25.56,122,35,57,44,0.25,0.07,0.07,0.05,395,-0.653846154,1
19,25.06,24.81,24.63,25.56,123,35,58,44,0.23,0.07,0.08,0.06,395,-0.542307692,1
20,25.06,24.88,24.63,25.5,123,35,58,45,0.13,0.06,0.06,0.06,395,-0.373076923,1
21,25.13,24.88,24.63,25.5,123,35,58,44,0.13,0.04,0.06,0.06,390,-0.238461538,1
22,25.06,24.88,24.63,25.56,123,35,57,44,0.15,0.05,0.06,0.06,395,-0.092307692,1
23,25.13,24.88,24.63,25.56,123,35,58,45,0.11,0.05,0.06,0.06,395,0.061538462,1
24,25.13,24.88,24.63,25.56,123,35,58,45,1.31,0.12,0.08,0.07,400,0.319230769,1
25,25.13,24.88,24.63,25.5,124,35,59,45,0.11,0.12,0.06,0.06,400,0.334615385,1
26,25.13,24.88,24.69,25.5,123,35,58,45,1.57,0.08,0.07,0.14,400,0.388461538,1
27,25.13,24.88,24.69,25.5,123,35,59,44,0.21,0.19,0.17,0.07,405,0.480769231,1
28,25.13,24.88,24.69,25.56,123,35,58,44,0.44,0.13,0.17,0.09,410,0.607692308,1
29,25.13,24.88,24.69,25.56,123,35,58,44,0.46,0.14,0.16,0.07,410,0.719230769,1
30,25.13,24.88,24.69,25.56,123,35,58,45,0.98,0.25,0.19,0.16,405,0.769230769,1
31,25.19,24.88,24.69,25.56,123,35,58,44,0.15,0.13,0.23,0.06,405,0.807692308,1
32,25.19,24.88,24.69,25.56,123,35,58,45,0.08,0.08,0.07,0.06,400,0.788461538,1
33,25.19,24.88,24.69,25.56,123,35,58,44,0.09,0.05,0.07,0.08,410,0.853846154,1
34,25.19,24.88,24.69,25.56,123,35,58,44,0.37,0.16,0.18,0.05,410,0.903846154,1
35,25.19,24.88,24.69,25.69,122,35,59,44,0.08,0.06,0.06,0.06,405,0.892307692,1
36,25.19,24.88,24.69,25.63,122,35,58,44,0.93,0.05,0.06,0.14,410,0.915384615,1
37,25.19,24.88,24.69,25.63,123,35,57,44,0.07,0.24,0.06,0.06,410,0.923076923,1
38,25.19,24.94,24.69,25.56,123,35,58,44,0.07,0.05,0.05,0.06,415,0.961538462,1
39,25.19,24.88,24.69,25.56,123,35,58,44,0.08,0.05,0.05,0.06,420,1.026923077,1
40,25.19,24.94,24.69,25.56,123,35,57,43,0.08,0.05,0.06,0.06,425,1.115384615,1
41,25.19,24.94,24.75,25.56,123,35,57,44,1.27,0.06,0.11,0.13,425,1.176923077,1
42,25.19,24.94,24.69,25.63,123,35,59,45,0.08,0.26,0.21,0.07,420,1.215384615,1
43,25.19,24.94,24.75,25.63,123,36,59,45,0.1,0.08,0.09,0.06,420,1.234615385,1
44,25.19,24.94,24.69,25.63,123,35,59,45,0.46,0.16,0.21,0.11,420,1.234615385,1
45,25.19,24.88,24.69,25.63,123,35,59,45,0.42,0.19,0.16,0.09,420,1.215384615,1
46,25.19,24.94,24.75,25.63,124,35,60,46,0.17,0.05,0.06,0.06,425,1.173076923,1
47,25.19,24.94,24.75,25.63,124,36,61,47,1.44,0.12,0.15,0.09,430,1.2,1
48,25.25,24.94,24.75,25.63,124,36,61,46,0.76,0.27,0.24,0.13,430,1.2,1
49,25.25,24.94,24.75,25.63,124,36,61,46,0.16,0.06,0.05,0.06,435,1.269230769,1
50,25.25,24.94,24.75,25.56,124,36,60,46,0.09,0.05,0.06,0.06,425,1.219230769,1
51,25.25,24.94,24.75,25.69,123,35,59,45,0.28,0.05,0.07,0.06,425,1.15,1
52,25.25,24.94,24.75,25.63,123,35,59,45,0.07,0.07,0.05,0.07,420,1.065384615,1
53,25.25,24.94,24.75,25.63,124,36,60,46,0.28,0.12,0.11,0.08,420,1.019230769,1
54,25.25,24.94,24.75,25.63,123,35,60,45,0.24,0.11,0.14,0.07,420,0.965384615,1
55,25.25,24.94,24.75,25.69,123,35,60,45,0.93,0.14,0.12,0.08,430,0.946153846,1
56,25.25,24.94,24.75,25.69,123,35,60,45,0.1,0.09,0.1,0.06,435,0.953846154,1
57,25.25,24.94,24.81,25.63,123,35,59,45,0.68,0.12,0.11,0.1,430,0.842307692,1
58,25.25,24.94,24.75,25.63,123,35,60,45,0.94,0.12,0.13,0.06,445,0.946153846,1
59,25.25,24.94,24.75,25.56,123,35,59,45,0.12,0.05,0.06,0.07,440,0.976923077,1
60,25.25,25,24.81,25.63,123,35,59,45,0.29,0.08,0.1,0.07,440,0.934615385,1
61,25.25,24.94,24.81,25.69,124,36,61,47,0.83,0.05,0.06,0.08,435,0.869230769,1
62,25.25,25,24.81,25.69,124,36,62,47,1.1,0.1,0.09,0.05,430,0.738461538,1
63,25.25,25,24.81,25.63,124,36,61,46,0.83,0.1,0.11,0.1,435,0.688461538,1
64,25.25,25,24.81,25.69,123,36,60,45,0.48,0.15,0.18,0.11,440,0.719230769,1
65,25.31,25,24.81,25.69,123,35,60,46,0.65,0.08,0.11,0.07,445,0.830769231,1
66,25.31,25,24.81,25.63,123,35,60,45,0.4,0.06,0.08,0.06,445,0.926923077,1
67,25.31,25,24.81,25.63,124,36,60,45,0.49,0.06,0.07,0.07,445,0.957692308,1
68,25.31,25,24.81,25.69,124,35,60,45,0.13,0.1,0.09,0.06,445,0.969230769,1
69,25.31,25,24.81,25.75,124,36,60,46,0.35,0.05,0.05,0.11,440,0.915384615,1
70,25.31,25,24.81,25.75,124,36,63,48,0.17,0.1,0.14,0.06,440,0.846153846,1
71,25.31,25,24.81,25.75,124,37,64,49,1.85,0.19,0.15,0.12,445,0.857692308,1
72,25.31,25,24.81,25.69,124,37,65,49,0.28,0.08,0.08,0.07,445,0.903846154,1
73,25.31,25,24.81,25.75,123,37,64,49,0.36,0.09,0.09,0.09,450,0.984615385,1
74,25.31,25.25,24.88,25.75,123,31,61,46,0.48,0.31,0.53,0.1,450,1.1,1
75,25.31,25.63,24.81,25.75,124,29,62,46,0.51,0.55,0.17,0.12,450,1.103846154,1
76,25.56,25.75,25,25.88,155,232,74,57,0.45,0.17,0.13,0.14,560,2.8,1
77,25.56,25.69,25,25.88,155,233,74,56,0.31,0.5,0.27,0.06,560,2.75,1
78,26.19,27.25,26.13,26.44,19,22,97,60,0.42,3.03,3.67,0.64,950,-0.069230769,0
79,26.19,27.06,26.13,26.38,19,22,98,59,2.32,2.08,1.64,0.1,960,-0.226923077,0
80,26.19,26.94,26.13,26.38,19,22,97,60,0.19,0.18,0.32,0.08,970,-0.303846154,0
81,26.19,26.88,26.06,26.38,19,22,98,60,0.1,0.11,0.11,0.06,965,-0.346153846,0
82,26.19,26.88,26.06,26.44,20,24,101,62,0.07,0.05,0.06,0.06,970,-0.3,0
83,26.13,26.81,26.13,26.44,19,23,101,61,0.08,0.05,0.06,0.06,970,-0.211538462,0
84,26.19,26.81,26.06,26.38,19,23,100,61,0.07,0.05,0.09,0.06,970,-0.176923077,0
85,26.19,26.81,26.06,26.44,19,23,99,60,0.08,0.05,0.06,0.06,970,-0.1,0
86,26.19,26.75,26.06,26.44,19,22,98,59,0.07,0.05,0.06,0.06,970,0.023076923,0
87,26.19,26.75,26.06,26.38,18,22,96,59,0.07,0.05,0.06,0.06,965,0.05,0
88,26.19,26.69,26.06,26.44,18,22,97,59,0.07,0.05,0.07,0.06,970,0.173076923,0
89,26.19,26.63,26.06,26.38,18,22,96,59,0.07,0.05,0.06,0.06,965,0.3,0
90,26.13,26.63,26.06,26.38,18,22,96,59,0.08,0.05,0.05,0.06,960,0.338461538,0
91,26.13,26.56,26.06,26.38,18,22,95,59,0.07,0.05,0.06,0.07,965,0.380769231,0
92,26.13,26.56,26,26.38,19,22,98,61,0.09,0.09,0.1,0.07,965,0.373076923,0
93,26.13,26.56,26,26.38,19,23,99,62,0.1,0.08,0.07,0.09,965,0.311538462,0
94,26.06,26.56,26,26.44,19,23,100,62,0.06,0.05,0.11,0.06,975,0.384615385,0
95,26.13,26.56,26,26.38,19,23,101,61,0.07,0.05,0.07,0.06,975,0.496153846,0
96,26.06,26.56,26,26.44,19,23,100,61,0.07,0.05,0.06,0.06,975,0.6,0
97,26.13,26.56,26,26.38,19,23,100,60,0.08,0.04,0.06,0.07,970,0.65,0
98,26.13,26.5,26,26.38,19,22,98,59,0.09,0.07,0.09,0.06,965,0.65,0
99,26.13,26.5,26,26.38,19,22,98,60,0.1,0.05,0.06,0.07,960,0.553846154,0
100,26.06,26.5,26,26.31,19,23,99,61,0.07,0.1,0.2,0.06,960,0.407692308,0
101,26.13,26.44,26,26.38,19,23,99,61,0.07,0.05,0.06,0.07,955,0.161538462,0
102,26.06,26.44,26,26.38,19,23,99,60,0.13,0.05,0.07,0.08,945,-0.180769231,0
103,26.06,26.44,26,26.38,18,22,99,59,0.07,0.14,0.21,0.17,945,-0.519230769,0
104,26.06,26.44,25.94,26.38,18,22,97,60,0.56,0.41,0.71,0.06,950,-0.707692308,0
